,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.004026003026287312
9,0.14776075854577167
10,0.2893474419052746
11,0.35702803768146646
12,0.34527158651713064
13,0.2786421749894403
14,0.1490078156356089
15,0.01308593807490184
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.00012976575738489412
33,0.04177314796219132
34,0.09689747847192656
35,0.13410923764151303
36,0.1385212733925994
37,0.11044371772396727
38,0.0625234270911909
39,0.004995573590898974
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.005103303653633603
57,0.1376773879011782
58,0.26981973576094526
59,0.34408084286917734
60,0.35477794841662275
61,0.292309202493638
62,0.17297938686774164
63,0.021314229684678578
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.01425546216504368
82,0.04250767111720016
83,0.0698449906729512
84,0.07951376380338415
85,0.06001625472209407
86,0.023902199600826374
87,0.0004064361457715552
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.002543898526847264
105,0.07738119824334183
106,0.15311543234578606
107,0.1866766114349786
108,0.16008687322365883
109,0.06982540338881763
110,0.024681610281974638
111,0.0009148893964054484
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.009080338469586993
130,0.03250836256701323
131,0.07459327480166383
132,0.10378567339223164
133,0.08942737798548671
134,0.0421657097817016
135,0.0017734653509268864
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.015206261582360672
154,0.04533884981133978
155,0.030050974545089218
156,0.02031935887806106
157,0.021834924987895958
158,0.020056562815935677
159,0.0011393270271025924
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.007612108296408223
177,0.1541723295521599
178,0.28293913544624194
179,0.34400004532212647
180,0.3449581899709935
181,0.28472892353394685
182,0.1586529207977138
183,0.025317380879476735
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0016894032565203194
201,0.048871906186932254
202,0.09928467872570527
203,0.1556821827041225
204,0.16184401583780772
205,0.1585190743561344
206,0.07648507999423104
207,0.008735112586732841
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0024639171166351906
226,0.01614808349444978
227,0.03427774723374561
228,0.036028360753183344
229,0.01762773958337313
230,0.01044247085370893
231,0.0009320282700223213
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0003852165879601888
249,0.018778492526220304
250,0.04971334326783683
251,0.073109538028546
252,0.09111759737884594
253,0.09140161299878267
254,0.06616094898216242
255,0.013879223082311381
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.005812526566636578
274,0.01714948339577849
275,0.04121164581702902
276,0.058705538958822766
277,0.04051058427241502
278,0.019122902272235558
279,0.001888540645211604
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0020525841498302434
297,0.029241366800901704
298,0.04189883303538173
299,0.04324056199853119
300,0.06874483821411574
301,0.1314012956100471
302,0.11442156867675955
303,0.01996923617417352
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0020689068866082175
321,0.04486467430793962
322,0.14525358617667483
323,0.2121539551348795
324,0.2135046616032569
325,0.12946949971237387
326,0.049408108090088707
327,0.006159384723168528
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.00011997211531810964
345,0.010704450778995418
346,0.026907215441651408
347,0.040655856629738994
348,0.061406951895577475
349,0.10032035637426773
350,0.06167627705241405
351,0.005262450337218849
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.00011915597847921092
369,0.03130292845595983
370,0.06222472100815396
371,0.050244648349959876
372,0.060121536374312015
373,0.10266266910190701
374,0.11294272872467509
375,0.0243902494304878
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0027463004628941433
393,0.04759465203405579
394,0.10152415821164333
395,0.14605421641563446
396,0.16733171994256263
397,0.1462092824150252
398,0.089562040563905
399,0.01652024189298759
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.004899269443908926
417,0.050269948591965735
418,0.13643604376921323
419,0.2520393785886981
420,0.3127199686976558
421,0.27473043112059886
422,0.13151229022013733
423,0.013797609398421508
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0010552649326960259
441,0.01931224601886006
442,0.04568570796787171
443,0.074004024003979
444,0.0889956415977093
445,0.07969902686581415
446,0.047730130749312975
447,0.007357473602671827
