,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0024709529249593745
9,0.019266585293904258
10,0.03114369359119969
11,0.03227687477375118
12,0.04023837027444828
13,0.06285940568648765
14,0.06691614421621142
15,0.017029450151637895
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.023555471479301808
33,0.1182466630889143
34,0.22261624077499828
35,0.27493714497010796
36,0.23788871730240013
37,0.1605526506131765
38,0.07851851661884257
39,0.014316328808889328
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.014634488006053747
57,0.06765016504116556
58,0.11779823398424946
59,0.14400252691605925
60,0.17916872143308846
61,0.18270438033281058
62,0.10336249109348479
63,0.012866658556192647
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.039980335649976335
81,0.10062849316299577
82,0.15496023028926542
83,0.14686011424597176
84,0.25948679991515755
85,0.34378813133810404
86,0.1946123859799619
87,0.018644462979238916
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.018049897760390968
105,0.09454171524139089
106,0.15652430424277972
107,0.16030129649678151
108,0.13543895062492767
109,0.0895755925496932
110,0.07160419075920635
111,0.012658727742297793
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.01321989042076102
129,0.07157412847286007
130,0.14298792475187352
131,0.21481674759516706
132,0.25139920982450814
133,0.17982007097059036
134,0.09411082247042804
135,0.01853590472298859
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.008212014553582456
153,0.052420276752754236
154,0.081039573354379
155,0.07549892696806422
156,0.0644109536873577
157,0.04108345454618159
158,0.011386926017149723
159,0.0005569873609151413
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.01739103265130245
177,0.04818065931442414
178,0.052814426729293894
179,0.1306223043014516
180,0.38985524490968526
181,0.3591800219473813
182,0.2170029438633468
183,0.049806527967650206
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.028312828293595
201,0.05841102237075308
202,0.22237156716668025
203,0.2696887708121594
204,0.27382400531178736
205,0.22743038190794548
206,0.1332694556269404
207,0.020930031805063115
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.019359277343471846
225,0.07287432235733514
226,0.12103410508401886
227,0.1317362790232819
228,0.11321707557048566
229,0.08254268767169123
230,0.04278865423282135
231,0.004797439862754853
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0031498595582787297
249,0.03315118626832113
250,0.11155947450389414
251,0.13669822639743145
252,0.08264623554688386
253,0.06609277159572816
254,0.06937624131554575
255,0.01973923124034799
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.00426466934361863
273,0.011278367760899397
274,0.016136767259856355
275,0.024276131288102056
276,0.02993285150225373
277,0.02739342336950569
278,0.019710004017511364
279,0.0028033082017873
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.009927235002337631
297,0.0572511191558938
298,0.05129294101477006
299,0.05662482152368038
300,0.06530530670615849
301,0.11898151897737805
302,0.1164086883042453
303,0.0170995954864458
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.028112413051286703
321,0.10045814020703371
322,0.14543800108909247
323,0.2446903095882379
324,0.25734569707649724
325,0.20809031102519485
326,0.10159633177064292
327,0.02480222129916133
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.03802628703747045
345,0.0974201791590438
346,0.16180691600462258
347,0.22014862810407734
348,0.20442772247201074
349,0.12417477894369178
350,0.05150671727323226
351,0.008670464420362687
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.002698090199575445
369,0.012709666616384483
370,0.021636495534199867
371,0.02807901051090199
372,0.019908749132800423
373,0.01207835860311335
374,0.004758191877802811
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.044653351049798125
393,0.19977725378694863
394,0.3096791272242512
395,0.4227200043942075
396,0.43015457482033564
397,0.32605388758434867
398,0.1541059603189263
399,0.03277624275250269
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.014312988554850855
417,0.053222772785497044
418,0.10300925922891642
419,0.1440843631400018
420,0.1482070716869854
421,0.11513772164260684
422,0.06168280120143602
423,0.010561048206137619
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.015194815621007359
441,0.04909254866692689
442,0.07877655124331448
443,0.09882809623625959
444,0.08867539408632513
445,0.06338382557052769
446,0.03221424501052984
