name,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK
2015-01-01 00:00:00,90.4773315603,98.1749209161,69.359690523,98.1789433392,90.4772698154,90.4801830814,90.4772569139,22.4447387282,47.1650175448,68.0278082133,45.0492988999,69.3597229257,2.40473251722,98.1787102781,98.1743874729,98.1744270933,2.25073469545,90.4770075735,47.1652020641,90.4770712844,47.1651646218,31.2722181907,28.8204447872,90.4772776956,68.0278733148,98.174138881,98.1753060489,28.8204500402,98.1740407932,90.4819255688
2015-01-01 01:00:00,90.4773271894,98.1748137345,69.3596900956,98.1789380549,90.4772685346,90.4801833372,90.4772493894,22.4447170669,47.1575626551,68.0278082697,45.0489325193,69.3597230402,2.40450306905,98.1786991625,98.1743839231,98.1744236702,2.40347276999,90.4770070564,47.1578949594,90.4770661218,47.157795076,31.2722162719,28.8204536712,90.4772710958,68.0278583266,98.1741310444,98.1752970404,28.8204508752,98.1739729889,90.4818695788
2015-01-01 02:00:00,90.4773214675,98.1748290446,69.3596887073,98.1789339847,90.4772649329,90.4801831355,90.4772392874,22.4446854775,46.922470156,68.0278076092,45.0504182573,69.3597218415,2.40354990964,98.1786957897,98.1743883803,98.1744207168,1.23731282804,90.4770064264,46.9229212344,90.4770587586,46.9228208233,31.2722110735,28.8204527186,90.4772649068,68.0278418719,98.1741286328,98.1752630261,28.8204425439,98.1740113074,90.4817982773
2015-01-01 03:00:00,90.4773139694,98.1748440241,69.3596876235,98.178928939,90.4772566059,90.4801845009,90.477217683,18.2356758863,46.9347352434,68.0278070826,45.0507540375,69.3597221458,2.40353470652,98.1786939885,98.1743859758,98.1744153271,1.21610868449,90.4770056273,46.9352508384,90.4770471694,46.9351315705,31.2722111841,28.8204513711,90.4772556282,68.0278312132,98.1741163396,98.1752215915,28.8204235124,98.1740142477,90.4817634084
2015-01-01 04:00:00,90.4773058348,98.1748317121,69.3596862696,98.178918969,90.4772480997,90.4801802087,90.4771851969,18.2393299333,46.9517597924,68.0278064689,45.0509089557,69.3597221594,2.40352969669,98.1786919507,98.1743823255,98.1744085938,1.21554327401,90.47700457,46.9523427462,90.4770297139,46.9522010995,31.2722130086,28.8204503992,90.4772412029,68.027823903,98.1741070817,98.1752044293,28.8204028283,98.1739839038,90.4817394304
2015-01-01 05:00:00,90.4772940359,98.1747877601,69.3596838916,98.1789004173,90.4772332,90.4801766151,90.4771344241,18.2435020556,46.9584158639,68.0278055355,45.0508865674,69.3597209064,2.40352572769,98.1786876625,98.1743723834,98.1743959049,1.21537515072,90.4770028941,46.959048016,90.4770015987,46.9589126539,31.2722150059,28.8204496755,90.4772213096,68.0278175112,98.1740998946,98.1751539324,28.8203726685,98.1739237955,90.4817139622
2015-01-01 06:00:00,90.4772785612,98.174598729,69.3596758987,98.1787454295,90.4772147554,90.4801810846,90.4770896657,18.247664445,46.563011074,68.0278037582,45.0509003244,69.3597140521,2.40352605447,98.1786266435,98.1743422209,98.1743602755,1.21530332493,90.4769986631,46.5639712918,90.4769591582,46.5639017719,31.272226657,28.8204511608,90.4771840337,68.0278099118,98.1740110612,98.1748688926,28.8204142282,98.1737448215,90.481653269
2015-01-01 07:00:00,90.4771950736,90.4779261234,69.3596616727,90.4761845383,90.4771171295,90.4798772313,90.4769610005,18.2518199444,45.1202409526,68.0277985057,45.0506723259,69.359707064,2.40352535783,90.481486974,90.4787829428,90.4802004688,1.2152630439,90.4769199759,45.1226427302,90.476838972,45.1225621473,31.2722186708,28.820450581,90.4771129927,68.0277873636,90.4770119061,90.4767144797,28.8203933976,90.4787220323,90.4799741008
2015-01-01 08:00:00,83.3836737558,90.4746302723,69.3587787325,90.47516389,68.0274868139,90.4772411054,68.027389002,18.25590038,45.1255518544,68.0273523619,45.0506357478,68.0274080259,2.40352498404,90.4814580658,90.4750466297,90.4771444155,1.21524215388,47.7720728352,46.499125767,68.0276340829,46.4990376532,31.2722107283,28.8204495373,90.4761885026,68.027306125,90.4745585684,90.4745660854,28.820351231,90.4748932983,90.4771698284
2015-01-01 09:00:00,83.3836192352,90.4696601338,62.6942778216,73.6390461011,52.0184014705,90.4763410357,47.9411647121,18.2602618836,45.1297018067,0.0101493879107,45.0508456241,52.0197489388,2.40352582386,90.4814414271,90.4749365724,90.4759912593,1.21523476151,47.7720553758,45.1341819629,67.8586907215,45.1340859891,31.2720740018,28.8204492828,83.3846955518,0.0102467668296,90.4738105238,73.6741478548,28.8203422808,90.4745391917,90.4761433974
