name,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK
2015-01-01 00:00:00,72.059731521,3904.64979482,54.1211991642,2523.24552044,72.1922442044,37.4835136246,28.2068895731,27.94302378,30.6394859689,73.1746078771,33.2693092978,72.1924133958,27.9599197743,88.8533353339,3904.64983967,3904.65075983,27.9614176114,73.1761431439,30.6330066004,28.2071927219,30.6334916847,28.2065498571,37.3105865176,28.207308015,73.1747327394,3904.64824385,3904.65080904,28.2954598968,73.4461612628,37.4848711557
2015-01-01 01:00:00,72.0591970638,2774.84174379,54.1196991042,2523.21810031,72.1918391517,33.6805588806,27.9668555626,16.8012103817,28.8014071349,73.1744995257,33.2700378044,72.1919218779,27.9402433219,88.8025723054,2774.84175221,2774.84260155,27.9607621412,73.1760189112,28.7968401084,27.9683997954,28.7973009385,27.9665430874,37.3105967305,27.9676576554,73.1745650924,2774.83945744,2774.84298409,27.9735089308,73.2614464018,33.6816558533
2015-01-01 02:00:00,72.0581874282,2774.83618091,54.1188944705,2523.21955169,72.1917553959,33.2747226521,27.9649693868,16.8015973256,28.4689353179,73.1743364014,33.2712010562,72.1915917544,15.0722760172,88.7226627722,2774.83625683,2774.83684764,27.9555739635,73.1759471705,28.4651022603,27.966144489,28.4655771564,27.9642137413,37.3105917683,27.9660904921,73.1743374746,2774.83246785,2774.83691875,27.967537585,73.4410342537,33.2754873318
2015-01-01 03:00:00,72.0562183293,2774.82582998,54.1185935829,2523.22992469,72.1919086861,33.2680141502,27.9648077914,16.7853528436,28.4226445737,73.1741232932,33.273026386,72.191673125,14.6710496199,88.6336934767,2774.82588004,2774.82632811,14.6719760891,73.1758889588,28.4189665322,27.965852375,28.4194577158,27.9635828353,37.3105792576,27.9657934444,73.1740854157,2774.81925676,2774.82619816,27.9653578288,73.4754535521,33.2686961463
2015-01-01 04:00:00,72.0539125055,2774.8291332,54.1184795871,2523.23751965,72.1920142465,33.2578816155,27.9647504564,13.6230362676,28.5910661066,73.1739649597,33.2776867748,72.1917878075,12.2142020966,88.540549282,2774.82915308,2774.82959056,1.61647050115,73.1758841523,28.5875314331,27.9657520123,28.5880153449,27.9631487138,37.310573183,27.9656308409,73.173902009,2774.81959629,2774.82956807,27.9646020533,73.4990667889,33.2585387524
2015-01-01 05:00:00,72.0477012805,2774.8307511,54.1184765858,2523.60723104,72.1918987314,33.2335513066,27.9647111726,13.6224154414,28.6730858265,73.1738714526,33.2765990401,72.1917077822,11.4061856067,88.4411396146,2774.83078479,2774.83125474,1.36134460549,73.175926808,28.6695489996,27.9657101912,28.670011925,27.9626642529,37.3105669528,27.965535215,73.1737840727,2774.82082432,2774.83112058,27.963956946,73.5859418938,33.2341825531
2015-01-01 06:00:00,72.0393447799,2774.7750726,54.1175095711,2523.19789812,72.1911987945,32.6495678165,27.964729692,13.6231194878,28.2431907623,73.1737031696,33.2800178848,72.1899123521,12.2212874658,88.3652440061,2774.77503677,2774.77560682,1.35451728005,73.1757682453,28.2397847782,27.9657552222,28.2402063787,27.964254714,37.3105757302,27.9654424778,73.1736010146,2771.72404941,2774.77526329,27.9652408222,73.4637535689,32.6501649632
2015-01-01 07:00:00,54.1221748784,72.0658203812,54.1160671532,72.0006684298,72.1887339554,28.4899484704,27.9646808246,13.6241753146,28.1517261647,73.1726983939,33.2775133128,72.1863181394,11.3010441048,72.004311469,72.0669072802,72.0639848497,1.35294362102,72.1886375473,28.149161149,27.9657582863,28.1495293354,27.9613073259,37.3105706873,27.9653509402,73.1725585757,71.9950369308,72.0029909098,27.9645460017,72.0689686856,28.4904025112
2015-01-01 08:00:00,40.5873628664,54.1100370103,54.1056962291,54.1176555964,54.1185640975,28.4362603561,27.9646235007,13.6222823955,28.1683567703,54.1188436008,33.2810015318,54.1186683218,11.2809474046,54.1340133677,54.1102946531,54.1102697086,1.35298762905,54.1183733064,28.1662105131,27.9655464563,28.1665467688,27.9479976974,37.3105694038,27.9653709252,54.1190724527,54.1083655947,54.1083565668,27.9636780446,54.1111233419,28.4364686513
2015-01-01 09:00:00,27.9661715627,28.0287299516,27.9650795045,28.0431044344,27.9649000292,28.0408083747,27.9644432541,13.6305272372,28.0845677688,27.9627152608,35.7203625129,27.9650808801,11.2987326194,54.1210436933,28.028846581,28.040300558,1.35370019531,27.9629989865,28.0827880845,27.9651100307,28.0830567312,22.7730446502,37.3105680164,27.965395831,27.9628812682,28.0256786792,28.0258621729,27.9635639988,28.0270894551,28.0404917024
