name,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK
2015-04-01 08:00:00,9457.254867,1421.153156,10146.420774,4319.701749,7679.494133,7757.979639,67795.410116,4515.261748,963.1270910000001,29011.68677,8067.910539,55382.759485,32843.189348,5684.088897,1920.8628019999999,4612.2961399999995,3227.949407,43306.150174,1543.116679,789.182233,995.4033,14579.297618,14496.997963,18987.950975,5888.638620000001,6799.196887,4934.73381,15939.910393,1644.9366289999998,3591.6697520000002
2015-04-01 09:00:00,9537.138709,1416.217036,10392.495054,4258.185843,7707.282651,7796.619476000001,69049.543223,4445.582276,952.814226,29410.991437,8086.654539,55920.738115,32380.63887,5765.706956,1989.4542850000003,4639.834707999999,3300.412576,43203.260447,1515.394595,826.901167,953.9198060000001,14596.997921,14276.006863999999,19370.14178,6059.484543,6628.733197,4949.170592,15809.162380000002,1719.7510730000001,3609.6397899999997
2015-04-01 10:00:00,9189.888755,1383.041286,10280.127316,4281.057364,7408.332031999999,7902.838072,68038.62242100001,4408.957996,969.803378,29516.37965,8038.280551999999,55891.42684400001,32556.312381,5731.722617,1995.2716899999998,4689.03359,3351.031293,41300.98156,1531.65507,807.848171,969.3159539999999,14377.631462000001,13788.205743,19331.987680000002,6196.866439,6570.6564100000005,4894.462142,15601.857316,1762.598911,3593.436318
2015-04-01 11:00:00,9185.032999,1374.790097,10124.70083,4272.863037,7395.308353,7912.68822,67087.759706,4361.0859439999995,955.9485380000001,29360.668315,8033.254190000001,54262.782913,32753.414036000002,5560.39329,1962.289802,4658.54004,3336.717905,41149.711474,1521.821492,790.5142969999999,958.73018,14388.753808000001,13489.000336000001,19421.038223,5888.0361490000005,6522.164084,4780.974924,15420.825447,1676.04457,3605.230975
2015-04-01 12:00:00,9092.493415,1420.364783,10063.107565,4273.4171590000005,7271.229518000001,7742.187290000001,66075.84768400001,4234.234297999999,955.7308820000001,28383.103762,7887.997076000001,52760.451888999996,32370.213010000003,5455.021735,1904.262409,4663.001948,3293.377982,41943.099371,1497.677168,778.851857,951.166608,14291.24749,13250.265854000001,19052.025834,5993.114528,6489.9171719999995,4662.523120000001,15181.801947,1598.205325,3559.233382
2015-04-01 13:00:00,8894.503101,1445.777918,10086.853439,4257.76703,7088.113851000001,7869.223576,65357.35995499999,4047.7630770000005,927.2233890000001,27634.787773000004,7885.197840999999,51027.325166,32231.759414,5279.3569,1822.957157,4704.335543,3274.331079,41445.831636,1450.4737539999999,751.10311,932.709476,14072.495127000002,13244.984666,18688.575276,6047.562569,6413.1435630000005,4647.761944,15126.000649000001,1589.194878,3497.880996
2015-04-01 14:00:00,8692.414074,1416.054605,9959.078973,4339.650502,6938.917784,7736.786792,63577.995062,3953.470421,900.629744,27271.157307999998,7919.482387999999,49567.602708,32497.587847000003,5104.675794,1786.3725940000002,4638.3820670000005,3299.4877739999997,40828.837954,1403.064305,745.43218,895.22916,13958.364355000002,13279.956795999999,18357.58255,6023.562569,6414.88103,4673.2574,14824.904652000001,1557.922108,3467.668192
2015-04-01 15:00:00,8711.791238,1380.903121,9919.715874,4547.289959000001,6684.450132,7733.479642,62568.938781,4070.6882689999998,896.5907060000001,27026.102254,7882.8498819999995,49311.648234,34067.68174,5154.982854999999,1773.8454510000001,4568.830071,3386.34322,39274.18412,1383.599285,746.061245,885.6221039999999,14033.090407,13194.983736,18134.607005,6013.562569,6492.9140560000005,4801.841414,14878.625216,1544.476749,3444.767542
2015-04-01 16:00:00,8588.999653,1384.1311230000001,9729.352509,4713.305689,6717.985723999999,7461.792481999999,62336.673751,3975.3820229999997,883.6345630000001,26574.620447,7991.37458,51417.690988,35342.678813,5499.75979,1794.384287,4446.448441,3385.711595,37998.212093,1384.1157230000001,738.105008,878.9665359999999,13479.566475,12974.028269,18029.804567,5746.562569,6463.415405,4997.155541,14866.056244,1539.029826,3451.868618
2015-04-01 17:00:00,8635.714612,1488.069181,9410.984132,4740.1173149999995,6718.417066,7519.64971,62408.507279,3794.451412,904.2517130000001,26271.251591,8231.731004000001,51523.971921,35811.039607,6287.199749,2013.98476,4571.779215,3284.7363170000003,39077.039358,1437.6664460000002,765.9184759999999,923.089483,13383.169090000001,12948.000754,19095.16347,5607.562569,6724.743439,5341.215972,15065.467373,1641.625631,3571.524593
